Date,new cases,total cases,new deaths,total deaths
Feb 26,1,1,,
Feb 27,,1,,
Feb 28,,1,,
Feb 29,1,2,,
Mar 1,,2,,
Mar 2,,2,,
Mar 3,,2,,
Mar 4,1,3,,
Mar 5,4,7,,
Mar 6,6,13,,
Mar 7,6,19,,
Mar 8,6,25,,
Mar 9,,25,,
Mar 10,9,34,,
Mar 11,18,52,,
Mar 12,25,77,,
Mar 13,21,98,,
Mar 14,23,121,,
Mar 15,79,200,,
Mar 16,34,234,,
Mar 17,57,291,1,1
Mar 18,137,428,3,4
Mar 19,193,621,2,6
Mar 20,283,904,5,11
Mar 21,224,1128,7,18
Mar 22,418,1546,7,25
Mar 23,345,1891,9,34
Mar 24,310,2201,12,46
Mar 25,232,2433,11,57
Mar 26,482,2915,20,77
Mar 27,502,3417,15,92
Mar 28,486,3903,22,114
Mar 29,353,4256,22,136
Mar 30,323,4579,23,159
Mar 31,1138,5717,42,201
Apr 1,1117,6834,40,241
Apr 2,1076,7910,58,299
Apr 3,1146,9056,60,359
Apr 4,1222,10278,73,432
Apr 5,852,11130,54,486
Apr 6,926,12056,67,553
Apr 7,1661,13717,114,667
Apr 8,2210,15927,133,800
Apr 9,1930,17857,141,941
Apr 10,1781,19638,115,1056
Apr 11,1089,20727,68,1124
Apr 12,1442,22169,99,1223
Apr 13,1261,23430,105,1328
Apr 14,1832,25262,204,1532
Apr 15,3058,28320,204,1736
Apr 16,2105,30425,188,1924
Apr 17,3257,33682,217,2141
Apr 18,2917,36599,206,2347
Apr 19,2055,38654,115,2462
Apr 20,1927,40581,113,2575
Apr 21,2498,43079,166,2741
Apr 22,2678,45757,165,2906
Apr 23,3735,49492,407,3313
Apr 24,3503,52995,357,3670
Apr 25,5514,58509,346,4016
Apr 26,3379,61888,189,4205
Apr 27,4613,66501,338,4543
Apr 28,5385,71886,474,5017
Apr 29,6276,78162,449,5466
Apr 30,7218,85380,435,5901
May 1,5919,91299,428,6329
May 2,5097,96396,395,6724
May 3,4751,101147,301,7025
May 4,6633,107780,296,7321
May 5,6935,114715,600,7921
May 6,10503,125218,614,8535
May 7,9888,135106,611,9146
May 8,10222,145328,749,9895
May 9,10611,155939,732,10627
May 10,6760,162699,496,11123
May 11,5632,168331,396,11519
May 12,9258,177589,881,12400
May 13,11385,188974,749,13149
May 14,13944,202918,844,13993
May 15,15305,218223,824,14817
May 16,14919,233142,816,15633
May 17,7938,241080,485,16118
May 18,13140,254220,674,16792
May 19,17408,271628,1179,17971
May 20,19951,291579,888,18859
May 21,18508,310087,1188,20047
May 22,20803,330890,999,21046
May 23,16508,347398,967,22013
May 24,15813,363211,653,22666
May 25,11687,374898,807,23473
May 26,16324,391222,1039,24512
May 27,20599,411821,1086,25598
May 28,26417,438238,1156,26754
May 29,26928,465166,1124,27878
May 30,33274,498440,956,28834
May 31,15760,514200,480,29314
Jun 1,12247,526447,623,29937
Jun 2,28936,555383,1262,31199
Jun 3,28633,584016,1349,32548
Jun 4,30925,614941,1473,34021
Jun 5,30830,645771,1005,35026
Jun 6,27075,672846,904,35930
Jun 7,18912,691758,525,36455
Jun 8,15654,707412,679,37134
Jun 9,32091,739503,1272,38406
Jun 10,32913,772416,1274,39680
Jun 11,30412,802828,1239,40919
Jun 12,25982,828810,909,41828
Jun 13,21704,850514,892,42720
Jun 14,17110,867624,612,43332
